seed,beta_mor,beta_rom,beta_catoni,sigma_hat_Ze,all_same_sign,mom_lo,mom_hi,mom_ncomp,mom_unbounded,mom_length,mom_rej0,mom_rejOLS,sn_lo,sn_hi,sn_ncomp,sn_unbounded,sn_length,sn_rej0,sn_rejOLS
557,0.10120530169840988,0.12130328857616098,0.10184778825345961,0.31810837589582597,True,-0.16575983438101857,0.34373333015189167,1,False,0.5094931645329103,False,False,0.0268613865752041,0.16992782417438718,1,False,0.14306643759918308,True,False
558,0.1034713951564868,0.11182586946110992,0.10184973476985361,0.2494170372465229,False,-0.0878902530893532,0.3286465175252741,1,False,0.4165367706146273,False,False,0.05124387450036166,0.21579194444335698,1,False,0.1645480699429953,True,False
559,0.0838470668605664,0.1033085461310026,0.1018476512537877,0.3177669134615047,True,-0.15082146952595935,0.40177874873379754,1,False,0.5526002182597569,False,False,0.002385244760434769,0.18461840601713714,1,False,0.18223316125670236,True,False
560,0.0839666807131147,0.060164524377595355,0.10184861184551981,0.21281891859513202,False,-0.059463424229309836,0.24837298343634165,1,False,0.30783640766565146,False,False,0.05329122076377,0.15109891495564504,1,False,0.09780769419187504,True,False
561,0.10812008350198868,0.08994285935944074,0.10184879794988957,0.16407329386386943,False,-0.048874993543128846,0.2710220208573529,1,False,0.31989701440048174,False,False,0.04679236534253574,0.1496021311485337,1,False,0.10280976580599797,True,False
562,0.12327359291750505,0.10163160794473733,0.10185102645614506,0.30291736653280166,False,-0.12504236893393172,0.37887648165174176,1,False,0.5039188505856735,False,False,0.04916868270989021,0.1601730317043597,1,False,0.1110043489944695,True,False
563,0.09977115838600538,0.0987243571863767,0.10184944383483752,0.2885455703890937,True,-0.15903603529430915,0.30609260183773473,1,False,0.4651286371320439,False,False,0.011512347072383595,0.20647316394626952,1,False,0.19496081687388592,True,False
564,0.09713291789978273,0.10767893780596381,0.101849394685472,0.0988896363972688,True,0.03168458705537002,0.17518648177818255,1,False,0.14350189472281252,True,False,0.06405757283164454,0.13288347934436803,1,False,0.0688259065127235,True,False
565,0.12515538588959724,0.1133430271633186,0.10184972498271044,0.31328502727575047,True,-0.17078999410347886,0.39316752183299686,1,False,0.5639575159364757,False,False,0.023712118597910843,0.27140562576526484,1,False,0.247693507167354,True,False
566,0.11764680766923064,0.07421394346146234,0.10184764263097609,0.38161915172825,True,-0.21864852878695173,0.4257418315720685,1,False,0.6443903603590202,False,False,0.0095238508035278,0.2419437468534238,1,False,0.232419896049896,True,False
567,0.0928152073295499,0.07752850626758562,0.10184943656926118,0.30787691449792637,False,-0.1781139693451341,0.4189419988084486,1,False,0.5970559681535828,False,False,-0.049875201947879345,0.1703719710251534,1,False,0.22024717297303273,False,False
568,0.10642367275848363,0.10800468587404116,0.10184847307709126,0.20177473717295255,True,-0.03173062188728066,0.3219039003188503,1,False,0.35363452220613095,False,False,0.06809002505884201,0.15485545280804597,1,False,0.08676542774920395,True,False
569,0.11610810125520855,0.09763059557923202,0.1018484681459887,0.1820244662042007,False,-0.05467303671136696,0.294858868146662,1,False,0.349531904858029,False,False,0.06923010585393938,0.20565903989114834,1,False,0.13642893403720896,True,False
570,0.07662157887053805,0.0837003019212964,0.10184961625514419,0.17140416543073295,False,-0.046423047235689685,0.2255058422722656,1,False,0.2719288895079553,False,False,0.04409123070413673,0.13630304613651484,2,False,0.09180735527575506,True,False
571,0.06965441221052121,0.0675064986613396,0.1018495955447202,0.1877906296476796,False,-0.057770076580163,0.25566722457793467,1,False,0.31343730115809765,False,False,0.053254291852086265,0.168259366473513,1,False,0.11500507462142673,True,False
572,0.11116996970951812,0.12571196039952803,0.1018484798294304,0.2880252754468555,False,-0.17310663177677377,0.37216141037813355,1,False,0.5452680421549073,False,False,0.048204403851513825,0.25026464630284406,1,False,0.20206024245133025,True,False
