figure,dist,mu,gamma,estimator,B,R,q_dev,mad_err,median_bias,sd_part,sd_samp,share,fail_t1
strength,t(2.1),0.1,249.99999999999994,Median-of-Ratios,101,5,0.1260975825290819,0.06533155232404464,0.06528704899031412,0.009842501460235612,0.0358780891039589,0.06999059837900064,0.0
strength,t(2.1),0.1,249.99999999999994,Ratio-of-Medians,1,505,0.7291986567771629,0.16310932382339188,-0.0013180865410883924,46.957410457591926,2.091347779308979,0.9980203717292134,0.05
strength,t(2.1),0.1,249.99999999999994,Ratio-of-Medians,5,101,0.3980914556499256,0.1045598667217641,-0.0014071439305143318,0.1745538150373292,0.13548649174557326,0.6240377895708574,0.010435643564356436
strength,t(2.1),0.1,249.99999999999994,Ratio-of-Medians,25,20,0.2868588044807362,0.07868034584572858,-0.0023178230155573853,0.06882912519213776,0.1309361707245457,0.21650247173662074,0.002425
strength,t(2.1),0.1,249.99999999999994,Ratio-of-Medians,101,5,0.2585790993046656,0.0721388082499877,-0.002218877709908862,0.03488653047368466,0.13035296466099236,0.06683905326093667,0.0011
strength,t(2.1),0.05,999.9999999999998,Median-of-Ratios,1,505,0.2651387993222094,0.09507111770855403,0.08584223796794788,0.10121533584737634,0.030900061741005576,0.9147438796620186,0.05
strength,t(2.1),0.05,999.9999999999998,Median-of-Ratios,5,101,0.18641607137840957,0.0865296094308311,0.08623752150465469,0.05136078226174823,0.030265181395293054,0.7422610853791748,0.0032376237623762375
strength,t(2.1),0.05,999.9999999999998,Median-of-Ratios,25,20,0.1494318327550401,0.08693914352171506,0.08693716236432747,0.02348932616340908,0.030142687422264555,0.3778244816109035,7.5e-05
strength,t(2.1),0.05,999.9999999999998,Median-of-Ratios,101,5,0.13870940718231167,0.08741270622541542,0.08741270622541542,0.011647003278832141,0.030158255931683656,0.1297896847573674,0.0
strength,t(2.1),0.05,999.9999999999998,Ratio-of-Medians,1,505,3.6392121061393365,0.3330930629694885,-0.011164528921469075,284.3287853145909,12.678782418229613,0.9980155017259142,0.05
strength,t(2.1),0.05,999.9999999999998,Ratio-of-Medians,5,101,1.0301763257047962,0.20651058287989016,-0.013776565255247841,0.5054967495379628,0.24198225950069688,0.8135667007469638,0.0019702970297029703
strength,t(2.1),0.05,999.9999999999998,Ratio-of-Medians,25,20,0.5921096199417604,0.1506645700911362,-0.021791518514445718,0.16248553342952468,0.23015319781637775,0.33263032628391115,0.0
strength,t(2.1),0.05,999.9999999999998,Ratio-of-Medians,101,5,0.5005179457081737,0.13760970272224915,-0.030252835471494433,0.07836565218366931,0.22847770344346133,0.10525942370942262,0.0
dists,Gaussian,1.0,2.5,Median-of-Ratios,1,505,0.05425912126913454,0.0186075118422232,0.00010655599937148263,0.015845071322042766,0.022613362285611376,0.32929730023614256,0.05
dists,Gaussian,1.0,2.5,Median-of-Ratios,5,101,0.04756867649549051,0.016297920494766527,0.0002122276568714554,0.008396744145021751,0.02260604647832203,0.12123925431850512,0.02507920792079208
dists,Gaussian,1.0,2.5,Median-of-Ratios,25,20,0.0454430387208279,0.01561403254766991,0.00027193392606850164,0.0038817199284760656,0.022604043363973137,0.028645338559304408,0.01795
dists,Gaussian,1.0,2.5,Median-of-Ratios,101,5,0.04478734563713051,0.015568709747445786,0.0002939187173223168,0.0019267605546626641,0.022596037585929086,0.0072184609146524244,0.0166
dists,Gaussian,1.0,2.5,Ratio-of-Medians,1,505,0.07845398498159895,0.026766898032318798,-0.0014743759580265747,0.03281835271111657,0.022779889202360324,0.6748534598218676,0.05
dists,Gaussian,1.0,2.5,Ratio-of-Medians,5,101,0.05633078021760217,0.01931380702026725,-0.0014287711846930895,0.01741752579731238,0.022776764497950044,0.36899563331509916,0.005900990099009901
dists,Gaussian,1.0,2.5,Ratio-of-Medians,25,20,0.048027792674027486,0.01623825262165307,-0.0013605130141508548,0.00801232368642971,0.022810934273073014,0.109826127058146,0.000325
dists,Gaussian,1.0,2.5,Ratio-of-Medians,101,5,0.04594855879302326,0.01559787802382756,-0.0013621032882640827,0.003978698941605862,0.022795813526011153,0.029562392830252845,0.0
dists,t(3),1.0,2.5,Median-of-Ratios,1,505,0.04954605319963608,0.01714616964561444,0.0005754914184030735,0.014790138193538405,0.020554691486949522,0.3411312201707062,0.05
