dist,estimator,delta,quantile_abs_err
"Mix(0.1,3)",Catoni,0.016723016350475777,0.05320131738973417
"Mix(0.1,3)",Catoni,0.019266385935710145,0.05204675533163001
"Mix(0.1,3)",Catoni,0.022196571434504937,0.05081995173786541
"Mix(0.1,3)",Catoni,0.025572402893367062,0.04966547922234534
"Mix(0.1,3)",Catoni,0.029461657701067987,0.0482652037696712
"Mix(0.1,3)",Catoni,0.033942421371752934,0.047140021715961336
"Mix(0.1,3)",Catoni,0.03910465528678882,0.045760841127118236
"Mix(0.1,3)",Catoni,0.045052002871285045,0.04442130886868792
"Mix(0.1,3)",Catoni,0.05190387046833238,0.043136665021329006
"Mix(0.1,3)",Catoni,0.059797824689177534,0.04167154357343064
"Mix(0.1,3)",Catoni,0.06889235437151585,0.04027376771178703
"Mix(0.1,3)",Catoni,0.07937005259840996,0.038854117753719095
"Mix(0.1,3)",Catoni,0.09144128266400184,0.037455013677054866
"Mix(0.1,3)",Catoni,0.10534840158850287,0.03596351889425872
"Mix(0.1,3)",Catoni,0.12137062597899873,0.034371473060003724
"Mix(0.1,3)",Catoni,0.13982963792914008,0.03272294119436665
"Mix(0.1,3)",Catoni,0.1610960435087286,0.03108910183511406
"Mix(0.1,3)",Catoni,0.1855968135118648,0.029349673533905645
"Mix(0.1,3)",Catoni,0.2138238558533658,0.027507966645966324
"Mix(0.1,3)",Catoni,0.24634389172354024,0.025723610052945614
"Mix(0.1,3)",Catoni,0.2838098337872815,0.023776954571263467
"Mix(0.1,3)",Catoni,0.326973894870344,0.02177046443366067
"Mix(0.1,3)",Catoni,0.37670269031909065,0.01962276025333928
"Mix(0.1,3)",Catoni,0.4339946372474493,0.017392948939122743
"Mix(0.1,3)",Catoni,0.5,0.015047280085330794
"Mix(0.1,3)",Trimmed Mean,0.002,0.09113915466722501
"Mix(0.1,3)",Trimmed Mean,0.002304175937155263,0.0897400040941639
"Mix(0.1,3)",Trimmed Mean,0.0026546133746826648,0.08801871198278219
"Mix(0.1,3)",Trimmed Mean,0.003058348130197162,0.0864089384533448
"Mix(0.1,3)",Trimmed Mean,0.0035234860845220423,0.08523125113506565
"Mix(0.1,3)",Trimmed Mean,0.004059365925428552,0.08371229443491994
"Mix(0.1,3)",Trimmed Mean,0.004676746642740232,0.08276961451562914
"Mix(0.1,3)",Trimmed Mean,0.005388023539186853,0.08144982017462908
"Mix(0.1,3)",Trimmed Mean,0.006207477093910235,0.08009089222193487
"Mix(0.1,3)",Trimmed Mean,0.007151559675115222,0.07885020275973077
"Mix(0.1,3)",Trimmed Mean,0.008239225858265201,0.07731934701169989
"Mix(0.1,3)",Trimmed Mean,0.009492312981701037,0.07610532576889803
"Mix(0.1,3)",Trimmed Mean,0.010935979580191029,0.07454103801587232
"Mix(0.1,3)",Trimmed Mean,0.012599210498948727,0.07307715274652864
"Mix(0.1,3)",Trimmed Mean,0.014515398829415806,0.07184184903987988
"Mix(0.1,3)",Trimmed Mean,0.016723016350475777,0.07069258071596052
"Mix(0.1,3)",Trimmed Mean,0.019266385935710145,0.06894384019415417
"Mix(0.1,3)",Trimmed Mean,0.022196571434504937,0.06744120178074979
"Mix(0.1,3)",Trimmed Mean,0.025572402893367062,0.06598389712684866
"Mix(0.1,3)",Trimmed Mean,0.029461657701067987,0.06452151624075339
"Mix(0.1,3)",Trimmed Mean,0.033942421371752934,0.06281148197510517
"Mix(0.1,3)",Trimmed Mean,0.03910465528678882,0.061314187366416695
"Mix(0.1,3)",Trimmed Mean,0.045052002871285045,0.05939621072416431
"Mix(0.1,3)",Trimmed Mean,0.05190387046833238,0.05756000890583173
"Mix(0.1,3)",Trimmed Mean,0.059797824689177534,0.0557379645983634
"Mix(0.1,3)",Trimmed Mean,0.06889235437151585,0.05396442088962884
"Mix(0.1,3)",Trimmed Mean,0.07937005259840996,0.051840619972251575
"Mix(0.1,3)",Trimmed Mean,0.09144128266400184,0.049849026354449905
"Mix(0.1,3)",Trimmed Mean,0.10534840158850287,0.04795812589299112
"Mix(0.1,3)",Trimmed Mean,0.12137062597899873,0.04573427519556234
"Mix(0.1,3)",Trimmed Mean,0.13982963792914008,0.04361779258621659
"Mix(0.1,3)",Trimmed Mean,0.1610960435087286,0.04147832553094026
"Mix(0.1,3)",Trimmed Mean,0.1855968135118648,0.03922107262433475
"Mix(0.1,3)",Trimmed Mean,0.2138238558533658,0.03682433815870265
"Mix(0.1,3)",Trimmed Mean,0.24634389172354024,0.0343671112747985
"Mix(0.1,3)",Trimmed Mean,0.2838098337872815,0.03175580515231123
"Mix(0.1,3)",Trimmed Mean,0.326973894870344,0.029065797084708963
